match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
27,156,244,8513,20188,61,5,6,10,40,35,30,5,0,0,60,40,20,0,7258,6955,61,5,6,10,40,63,42,1,10,10,90,40,50,30
28,179,201,16290,7393,51,5,6,0,40,78,54,4,10,10,50,40,10,0,19448,8081,73,5,3,5,60,88,54,4,20,10,30,20,10,10
29,132,248,18397,25192,30,5,0,5,20,52,42,0,0,10,20,20,0,30,21229,18422,70,25,0,5,40,108,57,1,30,20,70,40,30,0
30,252,271,11129,19819,41,5,6,10,20,101,60,1,20,20,100,40,60,10,8719,12682,50,5,0,5,40,91,60,1,20,10,100,40,60,30
31,147,176,5026,16771,48,0,3,5,40,59,39,0,10,10,40,40,0,0,6699,701,58,5,3,10,40,58,27,1,20,10,60,40,20,0
32,286,259,10091,18984,80,10,0,10,60,66,54,2,0,10,100,40,60,40,4137,19066,88,15,3,10,60,91,57,4,20,10,80,40,40,0
33,124,231,18763,2901,45,5,0,0,40,39,27,2,10,0,40,20,20,0,16093,8417,80,10,0,10,60,61,39,2,10,10,90,40,50,0
34,180,228,4250,18017,53,5,3,5,40,67,33,4,20,10,50,40,10,10,12928,25152,61,5,6,10,40,97,57,0,30,10,70,40,30,0
35,249,178,13093,24474,78,5,3,10,60,51,27,4,10,10,100,40,60,20,23020,7209,53,0,3,10,40,45,33,2,10,0,70,40,30,10
36,181,128,11212,5741,60,15,0,5,40,81,51,0,20,10,40,20,20,0,15145,11146,38,5,3,10,20,65,33,2,20,10,25,5,20,0
37,253,57,8721,16460,64,5,9,10,40,79,42,7,20,10,70,20,50,40,23112,16366,5,0,0,5,0,7,6,1,0,0,45,25,20,0
38,100,244,8081,6955,28,0,3,5,20,22,12,10,0,0,40,40,0,10,8411,14470,86,15,6,5,60,58,48,0,0,10,100,40,60,0
39,219,292,10662,7258,80,10,0,10,60,59,27,2,20,10,50,20,30,30,11329,19448,84,5,9,10,60,118,78,0,30,10,90,40,50,0
40,228,271,8513,4029,88,15,3,10,60,80,57,3,10,10,60,40,20,0,19824,7393,100,10,0,10,80,101,57,4,30,10,60,40,20,10
41,210,193,20188,7149,78,5,3,10,60,82,48,4,20,10,40,40,0,10,8468,12599,106,15,6,5,80,87,45,2,20,20,0,0,0,0
42,333,88,18227,19162,80,20,0,0,60,123,72,1,30,20,100,40,60,30,16290,24954,20,0,0,0,20,48,27,1,20,0,20,20,0,0
43,160,399,11129,4137,75,5,0,10,60,35,24,1,0,10,50,40,10,0,5026,16093,108,15,3,10,80,101,57,4,20,20,40,40,0,150
44,206,180,12682,701,80,10,0,10,60,66,45,1,10,10,60,40,20,0,18017,2901,80,10,0,10,60,20,18,2,0,0,80,40,40,0
45,185,239,8417,12928,50,5,0,5,40,45,24,1,20,0,90,40,50,0,13093,8719,70,25,0,5,40,119,78,1,20,20,50,20,30,0
46,250,243,10091,4250,95,10,0,5,80,115,75,0,20,20,40,40,0,0,21229,5741,78,30,3,5,40,95,63,2,10,20,70,40,30,0
47,231,141,16460,25192,75,10,0,5,60,86,54,2,10,20,70,40,30,0,11146,7209,83,10,3,10,60,18,15,3,0,0,40,20,20,0
48,139,220,23112,15145,60,10,0,10,40,44,21,3,20,0,25,25,0,10,18397,8411,105,15,0,10,80,75,42,3,20,10,40,40,0,0
49,257,296,24474,8081,78,5,3,10,60,64,42,2,10,10,65,5,60,50,16771,11212,75,30,0,5,40,111,69,2,30,10,70,40,30,40
50,262,228,19066,6955,70,20,0,10,40,102,51,11,30,10,80,40,40,10,19448,8721,80,10,0,10,60,48,36,2,0,10,70,40,30,30
51,276,192,12599,23020,91,15,6,10,60,95,63,2,20,10,80,40,40,10,14470,7393,61,5,6,10,40,91,60,1,20,10,10,10,0,30
52,153,256,18422,18763,65,20,0,5,40,43,33,0,0,10,45,25,20,0,7149,7258,91,15,6,10,60,105,63,2,20,20,60,40,20,0
53,73,235,8513,25152,11,0,6,5,0,17,15,2,0,0,25,25,0,20,10662,19162,35,5,0,10,20,100,48,2,30,20,100,40,60,0
54,175,226,19819,6699,30,5,0,5,20,65,33,2,20,10,60,20,40,20,16290,4029,85,15,0,10,60,91,51,0,20,20,50,20,30,0
55,238,55,8468,18227,109,10,9,10,80,59,27,2,20,10,70,40,30,0,18984,16366,26,0,6,10,10,9,6,3,0,0,20,20,0,0
56,115,199,24954,19824,50,5,0,5,40,45,21,4,10,10,20,20,0,0,11329,20188,58,10,3,5,40,101,60,1,20,20,40,0,40,0
57,160,251,8417,12682,50,5,0,5,40,40,30,0,0,10,70,40,30,0,10091,16460,106,30,6,10,60,115,69,6,20,20,20,20,0,10
58,243,221,16093,4250,83,10,3,10,60,100,66,4,20,10,60,20,40,0,701,13093,50,5,0,5,40,61,30,1,20,10,80,40,40,30
